font,codepoint,name,in_font_per_metadata
Santakku,0x1219d,KASKAL LAGAB TIMES U OVER LAGAB TIMES U,False
Santakku,0x1219e,KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U,False
Santakku,0x121a1,KI TIMES BAD,False
Santakku,0x121a2,KI TIMES U,False
Santakku,0x121a3,KI TIMES UD,False
Santakku,0x121a8,KISIM5,False
Santakku,0x121a9,KISIM5 OVER KISIM5,False
Santakku,0x121ab,KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2,False
Santakku,0x121ae,,False
Santakku,0x121b1,KUL GUNU,False
Santakku,0x121b4,KUR OPPOSING KUR,False
Santakku,0x121b6,,False
Santakku,0x121ba,LAGAB TIMES A PLUS DA PLUS HA,False
Santakku,0x121bb,LAGAB TIMES A PLUS GAR,False
Santakku,0x121bc,LAGAB TIMES A PLUS LAL,False
Santakku,0x121bd,LAGAB TIMES AL,False
Santakku,0x121be,LAGAB TIMES AN,False
Santakku,0x121bf,LAGAB TIMES ASH ZIDA TENU,False
Santakku,0x121c1,LAGAB TIMES BI,False
Santakku,0x121c2,LAGAB TIMES DAR,False
Santakku,0x121c3,LAGAB TIMES EN,False
Santakku,0x121c4,LAGAB TIMES GA,False
Santakku,0x121c5,LAGAB TIMES GAR,False
Santakku,0x121c6,LAGAB TIMES GUD,False
Santakku,0x121c8,LAGAB TIMES HA,False
Santakku,0x121ca,LAGAB TIMES HI TIMES NUN,False
Santakku,0x121cb,LAGAB TIMES IGI GUNU,False
Santakku,0x121cc,LAGAB TIMES IM,False
Santakku,0x121cd,,False
Santakku,0x121ce,,False
Santakku,0x121cf,LAGAB TIMES KI,False
Santakku,0x121d0,LAGAB TIMES KIN,False
Santakku,0x121d1,LAGAB TIMES KU3,False
Santakku,0x121d3,LAGAB TIMES KUL PLUS HI PLUS A,False
Santakku,0x121d4,LAGAB TIMES LAGAB,False
Santakku,0x121d5,LAGAB TIMES LISH,False
Santakku,0x121d6,LAGAB TIMES LU,False
Santakku,0x121d7,LAGAB TIMES LUL,False
Santakku,0x121d8,LAGAB TIMES ME,False
Santakku,0x121d9,LAGAB TIMES ME PLUS EN,False
Santakku,0x121da,LAGAB TIMES MUSH,False
Santakku,0x121db,LAGAB TIMES NE,False
Santakku,0x121dc,LAGAB TIMES SHE PLUS SUM,False
