hex,NotoSansCuneiform-Regular,Santakku,SantakkuM,Esagil,CuneiformOB,CuneiformNA,Assurbanipal,CuneiformComposite,name
0x120fe,True,True,False,True,True,True,True,True,GESHTIN
0x120ff,True,False,False,True,True,False,True,True,GESHTIN TIMES KUR
0x12100,True,True,True,True,True,True,True,True,GI
0x12101,True,False,False,True,True,False,True,True,GI TIMES E
0x12102,True,False,False,True,True,False,True,True,
0x12103,True,True,False,True,True,True,True,True,GI CROSSING GI
0x12104,True,True,True,True,True,True,True,True,GI4
0x12105,True,False,False,True,True,False,True,True,GI4 OVER GI4
0x12106,True,False,False,True,True,True,True,True,GI4 CROSSING GI4
0x12107,True,False,False,True,True,True,True,True,GIDIM
0x12108,True,True,True,True,True,True,True,True,GIR2
0x12109,True,True,True,True,True,True,True,True,GIR2 GUNU
0x1210a,True,True,True,True,True,True,True,True,GIR3
0x1210b,True,False,False,True,True,True,True,True,GIR3 TIMES A PLUS IGI
0x1210c,True,False,False,True,True,False,True,True,GIR3 TIMES GAN2 TENU
0x1210d,True,False,False,True,True,False,True,True,GIR3 TIMES IGI
0x1210e,True,False,False,True,True,False,True,True,GIR3 TIMES LU PLUS IGI
0x1210f,True,False,False,True,True,False,True,True,GIR3 TIMES PA
0x12110,True,False,False,True,True,True,True,True,GISAL
0x12111,True,True,True,True,True,True,True,True,GISH
0x12112,True,True,True,True,True,True,True,True,GISH CROSSING GISH
0x12113,True,False,False,True,True,False,True,True,GISH TIMES BAD
0x12114,True,False,False,True,True,False,True,True,
0x12115,True,False,False,True,True,False,True,True,GISH TENU
0x12116,True,True,True,True,True,True,True,True,GU
0x12117,True,False,False,True,True,True,True,True,GU CROSSING GU
0x12118,True,True,True,True,True,True,True,True,GU2 & UN
0x12119,True,True,True,True,True,True,True,True,GU2 TIMES KAK
0x1211a,True,False,False,True,True,False,True,True,
0x1211b,True,False,False,True,True,True,True,True,GU2 TIMES NUN
0x1211c,True,False,False,True,True,False,True,True,
0x1211d,True,False,False,True,True,True,True,True,GU2 GUNU & KAK
0x1211e,True,True,True,True,True,True,True,True,GUD
0x1211f,True,False,False,True,True,False,True,True,GUD TIMES A PLUS KUR
0x12120,True,True,True,True,True,True,True,True,GUD TIMES KUR
0x12121,True,False,False,True,True,False,True,True,GUD OVER GUD LUGAL
0x12122,True,True,True,True,True,True,True,True,GUL
0x12123,True,True,True,True,True,True,True,True,GUM
0x12124,True,True,False,True,True,True,True,True,GUM TIMES SHE
0x12125,True,True,True,True,True,True,True,True,GUR
0x12126,True,False,True,True,True,True,True,True,GUR7
0x12127,True,False,False,True,True,True,True,True,GURUN
0x12128,True,False,False,True,True,True,True,True,GURUSH
0x12129,True,True,True,True,True,True,True,True,HA
0x1212a,True,False,False,True,True,False,True,True,HA TENU
0x1212b,True,True,True,True,True,True,True,True,HA GUNU
0x1212c,True,True,True,True,True,True,True,True,HAL
0x1212d,True,True,True,True,True,True,True,True,HI
0x1212e,True,False,False,True,True,True,True,True,HI TIMES ASH
0x1212f,True,True,True,True,True,True,True,True,HI TIMES ASH2
0x12130,True,True,True,True,True,True,True,True,HI TIMES BAD
