font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Esagil,0x12147,IGI & DIB,0.0942,9,1,,,model
Esagil,0x12410,,0.1019,5,2,,,model
Assurbanipal,0x12204,LU2 TIMES IM,0.1136,17,1,,,model
Assurbanipal,0x12061,DAG KISIM5 TIMES IR,0.1234,16,3,,,model
Assurbanipal,0x120f4,GALAM,0.1182,6,1,,,model
Esagil,0x12095,EGIR,0.1341,12,2,,,model
Esagil,0x12132,HI TIMES GAD,0.1339,7,2,,,model
Assurbanipal,0x120b3,EZEN TIMES U2,0.1253,16,1,,,model
Assurbanipal,0x1201f,AK TIMES SHITA PLUS GISH,0.1403,15,1,,,model
Assurbanipal,0x1225c,NINDA2 TIMES SHE PLUS ASH,0.1376,10,1,,,model
Esagil,0x12083,DUH,0.1403,6,1,,,model
Esagil,0x122fc,TE,0.1438,5,1,,,model
Esagil,0x1232b,UR2,0.1463,7,2,,,model
Assurbanipal,0x120e9,GA2 TIMES TAK4,0.1683,15,1,,,model
Assurbanipal,0x122fd,TE GUNU,0.1719,8,1,,,model
Assurbanipal,0x1235c,UZU,0.175,8,1,,,model
Assurbanipal,0x12164,KA TIMES GAN2 TENU,0.1821,13,1,,,model
Esagil,0x1237d,SIGN HUSH,0.18,9,1,,,model
Assurbanipal,0x121ad,KU4,0.1992,8,1,,,model
Esagil,0x12033,APIN,0.2021,6,1,,,model
Esagil,0x12082,DUGUD,0.1998,6,1,,,model
Assurbanipal,0x121b9,LAGAB TIMES A,0.21,7,1,,,model
Assurbanipal,0x122b0,SHA3 TIMES BAD,0.2061,7,1,,,model
Esagil,0x12260,NISAG (read NISAG2),0.2101,11,1,,,model
Esagil,0x12318,UD TIMES U PLUS U PLUS U GUNU,0.2101,11,1,,,model
Esagil,0x1235c,UZU,0.2129,8,1,,,model
Esagil,0x1233a,URU TIMES BAR,0.2152,7,1,,,model
Assurbanipal,0x1200b,AB TIMES ASH2,0.2327,6,1,,,model
Assurbanipal,0x1225d,NINDA2 TIMES SHE PLUS ASH PLUS ASH,0.2334,11,1,,,model
Assurbanipal,0x122c4,SHID TIMES A,0.2316,9,1,,,model
Esagil,0x122c4,SHID TIMES A,0.2301,9,1,,,model
Esagil,0x122c6,SHIM,0.2346,10,1,,,model
Assurbanipal,0x122ec,TA ASTERISK,0.2367,6,1,,,model
Esagil,0x1202b,AMAR,0.2379,5,1,,,model
Assurbanipal,0x1201b,AB2 TIMES TAK4,0.252,13,1,,,model
Assurbanipal,0x1232f,UR2 TIMES HA,0.248,12,1,,,model
Assurbanipal,0x120f9,GAN2 OVER GAN2,0.2602,12,1,,,model
