font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Esagil,0x121fc,LU TIMES BAD,model,9,0.0,2,0.6355,1,1,0,0.15686,True
Esagil,0x1227c,PAN,model,5,0.0023,2,0.52,0,1,0,0.15718,True
Esagil,0x1228c,PIRIG TIMES UD,model,9,0.0,2,0.6316,0,1,1,0.15615,True
Esagil,0x122da,SHUBUR,model,11,0.0005,2,0.7317,0,0,0,0.15658,True
Esagil,0x122fb,TAR,model,4,0.0,2,0.4575,0,0,1,0.15625,True
Esagil,0x122fe,TI TENU,model,5,0.0,2,0.4623,2,0,0,0.15645,True
Esagil,0x1234f,URUDA,model,7,0.0,2,0.4055,0,1,1,0.15609,True
Assurbanipal,0x12002,A TIMES BAD,model,5,0.0,1,0.7011,1,0,0,1.0,True
Assurbanipal,0x12007,A TIMES MUSH,model,12,0.0,1,0.7599,0,0,0,1.0,True
Assurbanipal,0x12026,AL TIMES KI,model,13,0.0011,1,0.7638,0,0,0,1.0,True
Assurbanipal,0x12051,BULUG OVER BULUG,model,7,0.0001,1,0.6275,0,0,0,1.0,True
Assurbanipal,0x1205b,DAG KISIM5 TIMES GA,model,18,0.0001,1,0.8087,1,1,0,1.0,True
Assurbanipal,0x1205e,DAG KISIM5 TIMES GIR2,model,17,0.0007,1,0.7731,1,0,0,1.0,True
Assurbanipal,0x1206a,DAG KISIM5 TIMES SI,model,15,0.0003,1,0.7824,1,0,0,1.0,True
Assurbanipal,0x1206e,DAM,model,9,0.0,1,0.7376,1,1,0,1.0,True
Assurbanipal,0x12075,DIM TIMES SHE,model,9,0.0014,1,0.7717,0,0,0,1.0,True
Assurbanipal,0x1207c,DU GUNU,model,8,0.0035,1,0.731,0,0,0,1.0,True
Assurbanipal,0x12094,EDIN,model,10,0.0013,1,0.7464,0,0,0,1.0,True
Assurbanipal,0x120ba,GA2 TIMES A PLUS IGI,model,11,0.0004,1,0.7746,0,0,0,1.0,True
Assurbanipal,0x120bd,GÁ×A,model,6,0.0003,1,0.6741,0,0,0,1.0,True
Assurbanipal,0x120be,E2 TIMES A PLUS HA PLUS DA(sic!),model,14,0.0006,1,0.7581,0,0,0,1.0,True
Assurbanipal,0x120bf,GA2 TIMES BAD,model,7,0.0019,1,0.7116,1,0,0,1.0,True
Assurbanipal,0x120db,GA2 TIMES KID PLUS LAL,model,12,0.0,1,0.7589,0,1,0,1.0,True
Assurbanipal,0x120e7,GA2 TIMES SHID,model,11,0.0,1,0.7866,0,0,0,1.0,True
Assurbanipal,0x120ea,GA2 TIMES U,model,6,0.0007,1,0.6901,0,0,0,1.0,True
Assurbanipal,0x120f1,GAD OVER GAD GAR OVER GAR,model,14,0.0012,1,0.822,0,0,0,1.0,True
Assurbanipal,0x120fd,GASHAN,model,5,0.0004,1,0.6167,1,0,0,1.0,True
Assurbanipal,0x120fe,GESHTIN,model,6,0.0,1,0.6723,1,0,0,1.0,True
Assurbanipal,0x12107,GIDIM,model,12,0.0,1,0.7543,1,0,0,1.0,True
Assurbanipal,0x1212a,HA TENU,model,5,0.0041,1,0.5295,0,0,0,1.0,True
Assurbanipal,0x1212b,HA GUNU,model,8,0.0,1,0.6836,0,1,0,1.0,True
Assurbanipal,0x12132,HI TIMES GAD,model,7,0.0009,1,0.6155,0,0,0,1.0,True
Assurbanipal,0x1214c,IL TIMES GAN2 TENU,model,14,0.0032,1,0.7757,1,0,0,1.0,True
Assurbanipal,0x12153,IMIN,model,7,0.0007,1,0.7716,0,0,0,1.0,True
Assurbanipal,0x1215c,KA TIMES BAD,model,9,0.0014,1,0.6851,1,0,0,1.0,True
Assurbanipal,0x12160,KA TIMES ERIN2,model,11,0.0006,1,0.7705,0,0,0,1.0,True
Assurbanipal,0x12187,KA TIMES U,model,8,0.0,1,0.7324,0,1,0,1.0,True
Assurbanipal,0x12192,KAD4,model,9,0.0,1,0.7414,1,0,0,1.0,True
Assurbanipal,0x12198,KAL TIMES BAD,model,8,0.0,1,0.7341,1,0,0,1.0,True
Assurbanipal,0x121a6,KISAL,model,7,0.0001,1,0.7533,0,0,0,1.0,True
Assurbanipal,0x121b5,KUSHU2,model,5,0.0,1,0.5557,1,0,0,1.0,True
Assurbanipal,0x121c0,LAGAB TIMES BAD,model,6,0.0,1,0.5274,1,0,0,1.0,True
Assurbanipal,0x121c3,LAGAB TIMES EN,model,9,0.0001,1,0.7115,1,0,0,1.0,True
Assurbanipal,0x121c5,LAGAB TIMES GAR,model,8,0.0,1,0.7308,0,0,0,1.0,True
Assurbanipal,0x121d6,LAGAB TIMES LU,model,11,0.0013,1,0.7329,0,0,0,1.0,True
Assurbanipal,0x121d8,LAGAB TIMES ME,model,6,0.0001,1,0.7199,0,0,0,1.0,True
Assurbanipal,0x121de,LAGAB TIMES SHITA PLUS GISH TENU,model,12,0.0016,1,0.7895,0,0,0,1.0,True
Assurbanipal,0x121e1,LAGAB TIMES SUM,model,11,0.0,1,0.758,0,0,0,1.0,True
Assurbanipal,0x121e6,LAGAB TIMES U PLUS A,model,8,0.0,1,0.7761,0,0,0,1.0,True
Assurbanipal,0x121e7,LAGAB TIMES U PLUS U PLUS U,model,7,0.0001,1,0.7109,0,0,0,1.0,True
Assurbanipal,0x121ff,LU2 TIMES BAD,model,12,0.0003,1,0.7727,1,0,0,1.0,True
Assurbanipal,0x1221d,LUM,model,7,0.0,1,0.6936,0,0,0,1.0,True
Assurbanipal,0x12224,MAH,model,9,0.0001,1,0.7128,0,0,0,1.0,True
Assurbanipal,0x1222e,MUG,model,4,0.0005,1,0.646,0,0,0,1.0,True
Assurbanipal,0x1222f,MUG GUNU,model,6,0.0002,1,0.7556,0,0,0,1.0,True
Assurbanipal,0x12231,MURGU2,model,7,0.0,1,0.6936,0,0,0,1.0,True
Assurbanipal,0x1223f,NA2,model,12,0.0002,1,0.7058,1,0,0,1.0,True
Assurbanipal,0x12244,NAGAR & ZA TENU,model,4,0.0001,1,0.5372,1,0,0,1.0,True
Assurbanipal,0x12253,NINDA2 TIMES AN,model,8,0.0004,1,0.592,0,0,0,1.0,True
Assurbanipal,0x1225a,NINDA2 TIMES SHE,model,9,0.0011,1,0.7332,0,0,0,1.0,True
Assurbanipal,0x1226a,NUN OVER NUN,model,8,0.0001,1,0.7186,0,0,0,1.0,True
Assurbanipal,0x12276,NUNUZ AB2 TIMES SILA3,model,15,0.0003,1,0.7698,1,0,0,1.0,True
Assurbanipal,0x12296,SAG TIMES A,model,10,0.0042,1,0.7697,0,0,0,1.0,True
Assurbanipal,0x1229c,SAG TIMES LUM,model,14,0.0012,1,0.783,0,0,0,1.0,True
Assurbanipal,0x122a3,SAG TIMES UB,model,14,0.0017,1,0.7858,0,0,0,1.0,True
Assurbanipal,0x122a6,SAG TIMES USH,model,13,0.0,1,0.7285,1,0,0,1.0,True
